"","Male ","Female ","YES ","No ","Yes ","No ","Yes ","No "
Inattention,78.84 ± 11.09,83.25 ± 10.21,81.25 ± 8.79,79.33 ± 11.65,81.27 ± 8.84,78.92 ± 12.10,80.50 ± 10.84,78.00 ± 10.97
Hyperactivity,80.85 ± 12.25,80.75 ± 15.34,85.09 ± 7.64,80.07 ± 13.37,84.49 ± 9.26,79.46 ± 13.53,82.20 ± 12.48,79.54 ± 11.03
Learning problems,68.66 ± 14.87,73.00 ± 16.28,73.69 ± 13.14,67.50 ± 15.20,70.47 ± 14.45,68.52 ± 15.16,69.33 ± 15.49,69.35 ± 12.79
Executive function,69.12 ± 11.76,74.38 ± 16.61,71.56 ± 10.80,70.64 ± 13.38,71.56 ± 11.76,70.46 ± 13.29,71.70 ± 13.04,68.46 ± 11.10
Aggression,77.36 ± 14.67,69.88 ± 17.98,79.41 ± 12.86,75.78 ± 15.71,79.69 ± 13.17,74.83 ± 15.91,76.66 ± 15.33,77.46 ± 13.98
Peer relations,70.78 ± 16.78,63.38 ± 22.36,78.81 ± 15.10,67.75 ± 17.16,77.44 ± 15.36,66.44 ± 17.21,71.01 ± 17.41,71.08 ± 17.16
DSM inattention,75.45 ± 10.74,79.50 ± 14.16,77.25 ± 9.25,76.74 ± 11.97,77.24 ± 9.72,76.63 ± 12.20,77.70 ± 11.27,74.35 ± 10.75
DSM hyperactivity,79.14 ± 12.38,78.75 ± 15.56,83.31 ± 8.93,78.37 ± 13.29,82.78 ± 10.38,77.73 ± 13.23,80.78 ± 12.54,76.85 ± 11.37
Conduct disorder,70.07 ± 15.61,70.00 ± 16.41,73.06 ± 15.10,69.57 ± 15.86,73.29 ± 15.07,68.68 ± 15.89,70.70 ± 15.83,70.31 ± 15.37
Oppositional defiant,75.88 ± 12.81,66.00 ± 17.62,79.16 ± 10.98,73.64 ± 13.95,79.24 ± 11.27,72.44 ± 14.04,75.02 ± 13.76,76.08 ± 12.09
disorder,,,,,,,,
Global ADHD index,79.88 ± 11.52,80.38 ± 11.70,84.53 ± 7.26,78.82 ± 12.21,84.04 ± 7.48,77.98 ± 12.78,80.85 ± 11.57,79.42 ± 10.34
Impaired school life,2.21 ± 0.93,2.25 ± 0.89,2.28 ± 0.92,2.20 ± 0.91,2.24 ± 0.96,2.21 ± 0.88,2.24 ± 0.90,2.15 ± 0.97
Impaired relationships,1.70 ± 0.98,1.00 ± 1.41,1.97 ± 1.03,1.51 ± 1.04,2.00 ± 1.00,1.40 ± 1.02,1.67 ± 1.02,1.58 ± 1.17
Impaired home life,1.99 ± 0.96,1.38 ± 1.19,2.31 ± 0.86,1.80 ± 1.03,2.33 ± 0.83,1.68 ± 1.04,1.98 ± 1.03,1.88 ± 0.95
ADHD probability,88.01 ± 20.74,87.50 ± 15.75,94.75 ± 8.26,86.41 ± 22.43,93.67 ± 14.53,85.46 ± 22.13,88.98 ± 19.73,88.58 ± 19.89
