"n ","Baseline QTR 1 ","QTR 2 ","Week 14 QTR 1 ","QTR 2 ","p value^{a} ","Cohen’s d "
Response time variability,,,,,,
PCSO-524®,,,,,,
38,235.14 ± 97.90,237.69 ± 105.96,203.83 ± 69.07,239.73 ± 90.72,0.19,0.47
Placebo,236.32 ± 89.98,209.14 ± 97.54,287.52 ± 123.32,238.60 ± 86.55,,
Response time,,,,,,
PCSO-524®,,,,,,
37,632.32 ± 129.48,655.52 ± 123.68,595.83 ± 133.68,687.32 ± 164.01,0.83,0.10
Placebo,632.00 ± 136.38,663.14 ± 160.27,650.35 ± 120.80,648.00 ± 132.14,,
D′prime,,,,,,
PCSO-524®,,,,,,
38,2.30 ± 1.73,2.42 ± 1.66,2.00 ± 1.51,2.31 ± 2.10,0.63,0.04
Placebo,2.14 ± 1.38,2.64 ± 1.63,2.27 ± 1.96,2.09 ± 1.88,,
Correct response,,,,,,
PCSO-524®,,,,,,
38,23.04 ± 10.74,22.77 ± 11.13,24.61 ± 8.49,22.09 ± 9.51,0.96,0.13
Placebo,25.18 ± 8.96,23.57 ± 8.89,23.25 ± 10.28,20.15 ± 10.12,,
Correct non-response,,,,,,
PCSO-524®,,,,,,
38,106.39 ± 25.85,115.15 ± 15.53,102.65 ± 31.43,109.41 ± 28.31,0.71,0.10
Placebo,109.27 ± 14.52,115.86 ± 12.16,108.10 ± 17.63,108.05 ± 17.85,,
Errors of omission,,,,,,
PCSO-524®,,,,,,
36,0.33 ± 0.27,0.36 ± 0.31,0.31 ± 0.23,0.39 ± 0.26,0.82,0.02
Placebo,0.30 ± 0.24,0.34 ± 0.25,0.34 ± 0.28,0.39 ± 0.29,,
Errors of commission,,,,,,
PCSO-524®,,,,,,
36,0.11 ± 0.13,0.07 ± 0.10,0.18 ± 0.24,0.12 ± 0.22,0.46,0.19
Placebo,0.13 ± 0.12,0.07 ± 0.08,0.12 ± 0.11,0.10 ± 0.12,,
Post commission,,,,,,
PCSO-524®,,,,,,
38,5.11 ± 3.80,4.15 ± 3.56,6.70 ± 5.51,4.95 ± 5.27,0.89,0.01
Placebo,7.86 ± 5.01,4.76 ± 4.10,6.60 ± 3.78,4.95 ± 3.79,,
Post commission response time,,,,,,
PCSO-524®,,,,,,
38,,,,,,
627.29 ± 252.50,,626.23 ± 269.37,555.00 ± 209.43,575.41 ± 265.83,0.16,0.43
Placebo,,,,,,
602.00 ± 126.53,,530.95 ± 255.98,705.90 ± 232.93,614.60 ± 221.22,,
Post commission variability,,,,,,
PCSO-524®,,,,,,
38,,,,,,
179.18 ± 156.39,,145.77 ± 137.25,127.13 ± 94.86,157.59 ± 169.81,0.02,0.66
Placebo,,,,,,
200.45 ± 136.85,,125.14 ± 131.84,268.30 ± 163.49,201.20 ± 145.11,,
Anticipatory response,,,,,,
PCSO-524®,,,,,,
37,,,,,,
0.03 ± 0.07,,0.02 ± 0.03,0.05 ± 0.13,0.05 ± 0.13,0.55,0.18
Placebo,,,,,,
0.02 ± 0.02,,0.01 ± 0.02,0.03 ± 0.06,0.03 ± 0.04,,
Multiple responses,,,,,,
PCSO-524®,,,,,,
38,,,,,,
3.22 ± 5.56,,2.42 ± 4.66,2.65 ± 3.61,2.77 ± 4.54,0.54,0.25
Placebo,,,,,,
1.36 ± 2.48,,1.76 ± 3.74,3.90 ± 6.78,4.55 ± 5.96,,
