"","N ","% ","N ","% ","N ","% ","N ","% "
Total respondents,87,100.0,69,100.0,31,100.0,28,100.0
Female,83,95.4,50,72.5,28,90.3,20,71.4
Male,4,4.6,19,27.5,3,9.7,8,28.6
Recalled receipt,,,,,,,,
Female,59,71.1,44,88.0,3,10.7,1,5.0
Male,0,0.0,8,42.1,0,0.0,2,25.0
Read materials (if receipt recalled),,,,,,,,
Female,,,,,,,,
45,,,,,,,,
76.3,,,,,,,,
28,,,,63.6,0,0.0,0,0.0
Male,,,,,,,,
N/A,,,,,,,,
3,,,,37.5,N/A,,0,0.0
Total reached (if receipt recalled and read),,,,,,,,
Female,,,,,,,,
45,,,,,,,,
54.2,,,,,,,,
28,,,,,,,,
56.0,,,,,0,0.0,0,0.0
Male,,,,,,,,
0,,,,,,,,
0.0,,,,,,,,
3,,,,,,,,
15.8,,,,,0,0.0,0,0.0
