"","Yes (n = 83) ","No (n = 28) ","Yes (n = 50) ","No (n = 20) "
Knowledge,,,,
Percentage who agreed or were correct that .,,,,
Skin cancer is common,98.8,89.3 ^{a},98.0,95.0
Tanned skin is damaged,92.8,85.7,88.0,95.0
Melanoma is increasing,86.8,89.3,90.0,90.0
Indoor tanning is safer than sun,1.2,3.6,0,4.0
Indoor tanning could cause cancer,94.0,96.4,100.0,100.0
Base tan protects from sun,21.7,25.0,36.0,45.0
Alternatives to look good exist,N/A,N/A,90.0,85.0
Laws exist for parental consent,18.1,0 ^{a},28.0,5.0
Attitudes,,,,
Percentage who agreed that .,,,,
People with tans are more attractive,77.1,88.9,49.0,70.0
Chances of skin cancer are small,24.1,37.0,32.0,30.0
Tanned skin looks healthier,78.6,66.3,34.0,40.0
Industry markets to teenagers,96.1,96.4,90.0,100.0
Industry targeting teenagers is serious,92.2,85.7,N/A,N/A
One gets compliments on tanned skin,80.0,67.9,90.0,100.0
Indoor tanning lifts spirits,59.5,84.6 ^{a},57.1,50.0
Indoor tanning is relaxing,46.3,61.5,59.2,83.3
Perceived norms,,,,
Percentage who believed that .,,,,
">50% of peers use indoor tanning",48.8,63.0,55.1,79.0 ^{a}
Behavior,,,,
Percentage who .,,,,
Talked to teenager or parent about indoor tanning,43.4,N/A,38.0,N/A
Think parent would allow indoor tanning,N/A,N/A,44.0,65.0
Would use indoor tanning if friend offered free session,N/A,N/A,56.0,65.0
Were concerned if teenager tanned indoors occasionally,56.6,42.7,N/A,N/A
Were concerned if teenager tanned indoors regularly,96.4,96.4,N/A,N/A
Would allow teenager to tan indoors,25.3,46.4 ^{a},N/A,N/A
Intend to tan indoors soon,N/A,N/A,36.0,60.0
Intend to tan indoors in next 12 months,14.5,25.0,44.0,55.0
