"First author (year) ","Study type and quality (CONSORT/STROBE score) ","Incidence (95% CI) ","Main cancer class (chemotherapy) ","Dose (mg/m )^{2} (mean or cumulative) "
Antonacopoulou (2009) ^{*},Prospective cohort,58.8% (42.2–75.3),Colorectal (oxaliplatin),—
Argyriou (2006),Prospective cohort (18/22),61.5% (35.1–87.9),Breast (paclitaxel),1980
"",,42.8% (16.9–68.7),Lung (cisplatin),720
Argyriou (2007) [8],Prospective cohort (19/22),64% (45.2–82.8),Colorectal (oxaliplatin),1740
Argyriou (2007),Prospective cohort (19/22),69.2% (44.1–94.3),Multiple solid (cisplatin and paclitaxel),126·7
Argyriou (2012),Prospective cohort (19/22),83.3% (77.3–89.3),Colorectal (oxaliplatin),1646
Argyriou (2013),Prospective cohort (20/22),84.5% (79.4–89.5),Colorectal (oxaliplatin),1651
Attal (2009),Prospective cohort (19/22),66.6% (44.8–88.4),Colorectal (oxaliplatin),1278
Baldwin (2012),Prospective cohort (20/22),67.2% (64.1–70.3),Breast (paclitaxel),—
Cascinu (1995),RCT (18/25),64% (45.2–82.8),Gastrointestinal (cisplatin),—
Cascinu (2002),RCT (16/25),78.9% (60.6–97.3),Colorectal (oxaliplatin),783
Chaudhary (2008) ^{†},Prospective cohort (13/22),96.2% (89.2–103),Multiple myeloma (bortezomib and thalidomide),36
Dimopoulos (2011),RCT (21/25),46.7% (41.4–52.1),Multiple myeloma (bortezomib),38·4
Gandara (1995)^{‡},RCT (18/25),12.1% (5.6–18·5),Ovarian and lung (cisplatin),379
Ghoreishi (2012),RCT (19/25),59.2% (40.7–77.8),Breast (paclitaxel),—
Glendenning (2010) ^{†},Cross sectional cohort (21/22),20.1% (15.5–24.7),Testicular (cisplatin and vincristine),400
Gobran (2013),RCT (13/25),70% (53.6–86.4),Colorectal (oxaliplatin),763
Ishibashi (2010),RCT (20/25),93.7% (81.9–105),Colorectal (oxaliplatin),72·8
Johnson (2011),RCT (23/25),32.1% (29.1–34.9),Multiple myeloma (thalidomide),—
"",,19.6% (16.3–22.9),(Vincristine),—
Kawakami (2012) ^{†},Prospective cohort (14/22),76% (64.1–87.8),Lung (cisplatin and paclitaxel),—
Kemp (1996),RCT (19/25),67·5% (59.2–75.8),Gynecological (cisplatin),—
Krishnan (2005),Prospective cohort (16/22),50% (25.5–74.5),Colorectal (oxaliplatin),1200
Lin (2006),Randomised trial (15/24),90% (71.4–108),Colorectal (oxaliplatin),1200
Milla (2009),Randomised trial (11/24),92.8% (79.3–106),Colorectal (oxaliplatin),772
Pace (2003),Randomised trial (11/24),85.7% (67.4–104),Multiple solid (cisplatin),420
Pace (2007),Prospective cohort (14/22),92.8% (79.4–106),Breast (paclitaxel),1744
Pace (2010),RCT (19/25),41.6% (21.9–61.4),Multiple solid (cisplatin),450
Planting (1999),Randomised trial (13/24),13.5% (2.5–24.5),Multiple solid (cisplatin),401
Plasmati (2002),Prospective cohort (15/22),96% (88.3–103),Multiple myeloma (thalidomide),18
Van der Hoop (1999),RCT (12/25),41.6% (13.7–69.5),Gynecological (cisplatin),416
Von Schlippe (2001),Prospective cohort (9/22),17.2% (3.4–30.9),Testicular (cisplatin),—
Won (2012),Prospective cohort (16/22),40.6% (30.8–50.4),Colorectal (oxaliplatin),935
