"GO biological process ","Upregulated genes ","Downregulated genes "
Gliogenesis,FGFR3 GFAP ID2 NOTCH1 PAX6,LYN EGR1 OLIG2 PTPRZ1 S100B HES1 WASF3 GSN DNER NDRG1 GPR56
"",CCL2 STAT3 APCDD1 ID4,
Glial cell differentiation,FGFR3 GFAP ID2 NOTCH1,LYN EGR1 OLIG2 PTPRZ1 S100B HES1 WASF3 GSN DNER NDRG1
"",PAX6 STAT3 ID4,
Oligodendrocyte differentiation,FGFR3 ID2 NOTCH1 PAX6 ID4,LYN EGR1 PTPRZ1 OLIG2 WASF3 GSN
Morphogenesis of a,CSF1 NOG NOTCH1 SOCS3,ETV4 SLC12A2 NPNT SFRP1 ADM CTNND2 CLIC4 SPRY1 NFATC4 SPRY2
branching structure,CTSH ADAMTS16 CD44,
Regulation of gliogenesis,CSF1 NOG FGFR3 ID2 GFAP,LYN PTPRZ1 OLIG2 HES1
"",NOTCH1 ID4,
Morphogenesis of a,CSF1 NOG NOTCH1 SOCS3,ETV4 SLC12A2 NPNT SFRP1 ADM CLIC4 SPRY1 NFATC4 SPRY2
branching epithelium,CTSH ADAMTS16 CD44,
Negative regulation of,,LYN HMGCR DUSP4 SPRED2 SFRP1 DUSP6 SPRY4 SPRED1 SPRY4
MAP kinase activity,,SPRY1 SPRY2
Proteoglycan metabolic process,COL11A1 XYLT1 SDC2 GPC4,CHST11 BCAN SDC3 CHST7 ACPL2 HS6ST2
"",CHST15,
Chondroitin sulfate proteoglycan,XYLT1 SDC2 GPC4 CHST15,CHST11 BCAN SDC3 CHST7 ACPL2
metabolic process,,
Sulfur compound,XYLT1 ANGPT1 CHST15 CDO1,ELOVL6 CHST11 BCAN ACSL3 CTH ACSS1 CHST7 MGST3 ACPL2 HS6ST2
biosynthetic process,,
