"Variables ","Ultrasound tailored treatment (n=56) ","Usual care (n=55) ","Recovered before randomisation (n=18) "
Demographic variables,,,
"Age, mean (SD)",49.0 (9.9),49.4 (10.9),48.6 (12.4)
"Female, n (%)",26 (46.4),20 (36.4),10 (55.6)
Specific disease variables,,,
Duration of pain in weeks (SD),6.2 (3.8),5.5 (3.5),2.1 (1.8)
"Acute onset, n (%)",24 (42.9),28 (50.9),13 (72.2)
"Concomitant neck symptoms, n (%)",20 (35.7),14 (25.5),6 (33.3)
"Dominant shoulder affected, n (%)",33 (58.9),37 (67.3),9 (50.0)
"Ultrasound findings, n (%)",,,
Calcific tendonitis,26 (46.4),28 (50.9),11 (61.1)
Tendinopathy,16 (28.6),16 (29.1),5 (27.8)
Bursitis,14 (25.0),10 (18.2),2 (11.1)
Partial-thickness tears,11 (19.6),13 (23.6),1 (5.6)
Full-thickness tears,0 (0.0),3 (5.5),1 (5.6)
Impingement,12 (21.4),7 (12.7),2 (11.1)
"Number of disorders, n (%)",,,
No disorder,12 (21.4),8 (14.5),4 (22.2)
1 disorder,20 (35.7),26 (47.3),7 (38.9)
"≥2 disorders",24 (42.9),21 (38.2),7 (38.9)
