"Class of medication ","Medication name ","Number currently taking n52276 ","Time taken (years)** v1 year ","1–10 years ","10z years ","Missing* ","Number previously taking n52276 "
First generation,Glatiramer acetate,488 (21.4),125 (25.6),321 (65.8),25 (5.1),17 (3.5),345 (15.2)
DMDs,Interferons,433 (19.0),100 (23.1),266 (61.4),51 (11.8),16 (3.7),570 (25.0)
Second generation,Natalizumab,132 (5.8),56 (42.4),70 (53.0),1 (0.8),5 (3.8),77 (3.4)
DMDs,Alemtuzumab,2 (0.1),2 (100),0 (0),0 (0),0 (0),3 (0.1)
"",Daclizumab,1 (0.1),1 (100),0 (0),0 (0),0 (0),2 (0.1)
"",Rituximab,2 (0.1),1 (50.0),1 (50.0),0 (0),0 (0),5 (0.2)
"",Fingolimod,94 (4.1),71 (75.5),22 (23.4),0 (0),1 (1.1),25 (1.1)
"",Dimethyl fumarate,22 (1.0),9 (40.9),11 (50.0),0 (0),2 (9.1),7 (0.3)
"",Teriflunomide,4 (0.2),0 (0),3 (75.0),0 (0),1 (25.0),0 (0)
"",Cladribine,2 (0.1),2 (100),0 (0),0 (0),0 (0),0 (0)
"",Laquinimod,3 (0.1),0 (0),3 (0.1),0 (0),0 (0),2 (0.1)
General,Azathioprine,7 (0.3),6 (85.7),1 (14.3),0 (0),0 (0),22 (1.0)
immunosuppressants,Cyclophosphamide,1 (0.1),1 (100),0 (0),0 (0),0 (0),14 (0.6)
"",Methotrexate,5 (0.2),2 (40.0),3 (60.0),0 (0),0 (0),26 (1.1)
"",Mitoxantrone,4 (0.2),3 (75.0),0 (0),0 (0),1 (25.0),45 (2.0)
"",Mycophenolate,5 (0.2),2 (40.0),3 (60.0),0 (0),0 (0),3 (0.1)
Steroids,Adrenocorticotropic,9 (0.4),2 (22.2),0 (0),0 (0),7 (77.8),28 (1.2)
"",hormone,,,,,,
"",(ACTH),,,,,,
"",Prednisolone,144 (6.3),99 (68.7),15 (10.4),7 (4.9),23 (16.0),756 (33.2)
Others,Immunoglobulins,5 (0.2),1 (20.0),4 (80.0),0 (0),0 (0),23 (1.0)
"",Plasmapheresis,0 (0),0 (0),0 (0),0 (0),0 (0),11 (0.5)
"",LDN,163 (7.2),44 (27.0),111 (68.1),3 (1.8),5 (3.1),67 (2.9)
"",Minocycline,16 (0.7),9 (56.2),7 (43.8),0 (0),0 (0),13 (0.6)
"",Baclofen,242 (10.6),57 (23.6),147 (60.7),29 (12.0),9 (3.7),127 (5.6)
"",Fampridine,80 (3.5),40 (50.0),36 (45.0),1 (1.2),3 (3.8),36 (1.6)
