"HRQOL composite/subscore ","Single DMD or no DMD ","n ","Mean HRQOL ","SD ","P "
Overall QOL subscore,No DMD,1104,66.8,19.4,0.472
"",DMD,1081,67.4,18.7,
Physical health composite,No DMD,919,59.0,22.1,0.403
"",DMD,958,59.8,20.8,
Mental health composite,No DMD,1078,68.2,21.0,0.011
"",DMD,1061,65.9,21.6,
Physical health subscore,No DMD,1125,56.4,34.9,0.000
"",DMD,1096,64.0,31.1,
Role limitations physical subscore,No DMD,1123,44.3,43.3,0.049
"",DMD,1092,47.9,43.5,
Role limitations emotional subscore,No DMD,1117,69.7,41.0,0.373
"",DMD,1080,68.1,41.3,
Pain subscore,No DMD,1129,72.0,26.2,0.985
"",DMD,1090,72.0,26.1,
Emotional wellbeing subscore,No DMD,1132,70.1,18.2,0.001
"",DMD,1098,67.4,19.1,
Energy subscore,No DMD,1132,44.5,23.1,0.121
"",DMD,1098,43.0,22.0,
Health perception subscore,No DMD,1130,57.2,23.4,0.082
"",DMD,1097,55.5,21.9,
Social function subscore,No DMD,1094,69.0,24.9,0.118
"",DMD,1067,70.6,23.2,
Cognitive function subscore,No DMD,1132,68.2,26.3,0.002
"",DMD,1098,64.6,27.3,
Health distress subscore,No DMD,1130,61.8,27.0,0.009
"",DMD,1098,58.8,27.3,
Sexual function subscore,No DMD,976,65.4,31.3,0.113
"",DMD,999,67.6,30.0,
