"Characteristic Maternal age, years^{a} ","Lifestyle advice (n = 974) 29.4 ± 5.4 ","Standard care (n = 950) 29.6 ± 5.4 ","Total (n = 1924) 29.5 ± 5.4 "
"Gestational age at entry, weeks^{b}",14.3 (12.0 to 17.0),14.3 (12.0 to 17.1),14.3 (12.0 to 17.1)
"Body mass index category, n (%)",,,
25.0 to 29.9,410 (42.1),421 (44.3),831 (43.2)
30.0 to 34.9,282 (29.0),268 (28.2),550 (28.6)
35.0 to 39.9,180 (18.5),155 (16.3),335 (17.4)
"≥40.0",102 (10.5),106 (11.2),208 (10.8)
"Public patient, n (%)",954 (97.9),927 (97.6),1881 (97.8)
"Caucasian, n (%)",883 (90.7),866 (91.2),1749 (90.9)
"Smoker, n (%)",124 (12.7),97 (10.2),221 (11.5)
"Nulliparous, n (%)",410 (42.1),385 (40.5),795 (41.3)
"Index of Socio-economic Disadvantage, n(%)^{c}",,,
Unknown,2 (0.2),1 (0.1),3 (0.2)
Quintile 1 (most disadvantaged),296 (30.4),274 (28.8),570 (29.6)
Quintile 2,231 (23.7),236 (24.8),467 (24.3)
Quintile 3,157 (16.1),143 (15.1),300 (15.6)
Quintile 4,138 (14.2),151 (15.9),289 (15.0)
Quintile 5 (least disadvantaged),150 (15.4),145 (15.3),295 (15.3)
