file,pmr,chjh,notes_pmr,notes_chjh
table1(10).png,in,in,,
table1(11).png,in,in,,
table1(12).png,in,in,,"Nested rows, partially blank lines, non-header column description"
table1(13).png,in,in,,
table1(14).png,q,out,"list with subheads","Boxed, not a table for information but an enumeration"
table1(15).png,in,in,,Boxed
table1(16).png,in,in,,"Nested rows, partially blank lines, boxed"
table1(17).png,in,in,,"Nested rows, partially blank lines, boxed"
table1(18)cont.png,in,in,,"Nested rows, partially blank lines, boxed"
table1(18).png,in,in,,"Nested rows, partially blank lines, boxed"
table1(19).png,in,in,,"boxed, double level row descriptors"
table1(20).png,in,in,,"Nested rows, blank lines"
table1(21).png,in,in,,"Nested rows, blank lines"
table1(22).png,in,in,,"Gridded, nested rows"
table1(23).png,in,in,,"Gridded, nested rows"
table1(24).png,in,in,,"No column header"
table1(25).png,in,in,,"Nested rows, blank lines"
table1(26)cont1.png,in,in,,
table1(26)cont2.png,in,in,,
table1(26).png,in,in,,
table1(27).png,in,in,,
table1(28).png,in,in,,
table1(29).png,in,in,,"Boxed, blank lines"
table1(2).png,q,q,"unclear header",
table1(30).png,in,in,,Boxed
table1(31).png,in,in,"cell list",
table1(32)cont1.png,q,in,"cell list",
table1(32)cont2.png,q,in,"cell list",
table1(32).png,q,in,"cell list",
table1(33).png,in,in,,
table1(34).png,in,in,,"Nested rows, blank lines"
table1(35).png,in,in,,"Nested rows, blank lines"
table1(36).png,in,in,,"Nested rows, but each level contains data"
table1(37).png,in,in,,"Nested rows, blank lines"
table1(38).png,q,out,"cell list","Not a data table but enumeration"
table1(39).png,in,in,,"Nested rows, some higher-levels contain data while others don’t"
table1(3).png,in,in,,"Non-aligned columns"
table1(40).png,q,out,list,enumeration
table1(41).png,in,in,,
table1(42).png,in,in,,
table1(43).png,in,in,,"Nested rows, blank lines"
table1(44).png,in,in,,"Nested rows, blank lines"
table1(45).png,in,in,,"Nested rows, blank lines"
table1(46).png,in,in,,"Nested rows, blank lines"
table1(47).png,in,in,,"Nested rows, blank lines"
table1(48).png,in,in,,"Empty cells"
table1(49).png,in,in,,"Super, subscripts, weird underscores, line along table"
table1(4).png,in,in,,"Multiple notes"
table1(50).png,in,in,,"Line along table"
table1(51).png,in,in,,
table1(52).png,in,in,,
table1(53).png,in,q,,"multiple datapoints per row"
table1(54).png,in,in,,"no column headers"
table1(5).png,in,in,,"Boxed, nested rows, partially blank lines"
table1(6).png,in,in,,"Boxed, nested rows, partially blank lines"
table1(7).png,in,out,"cell list",
table1(8).png,in,in,,"Nested rows, partially blank lines"
table1(9).png,in,in,,
table1.png,in,in,,
table2(10).png,in,in,,"Nested rows and columns, blank lines/cells"
table2(11).png,in,in,,"Boxed, nested rows and columns"
table2(12).png,in,in,,"Nested rows, boxed"
table2(13).png,in,in,,"Nested rows, boxed"
table2(14).png,in,in,,"Nested columns, boxed"
table2(15).png,in,in,,"Nested rows and columns, rotated, boxed"
table2(16).png,in,in,,boxed
