CTree,table,layout,THBF,T,H,B,F,colsplit,rowsplit,subtab,suscript,legacy,diacritic,format,rotate,contin,weird
10.1007_s00213-015-4198-1,,,,,,,,,,,,,,,,,
10.1007_s00213-015-4198-1/pdftable,doubleTable1.html,Y,Y,Y,Y,Y,Y,1,,Y,Y,,,,,,
10.1007_s00213-016-4471-y,,,,,,,,,,,,,,,,,
10.1007_s00213-016-4471-y/pdftable,doubleTable1.html,Y,Y,Y,Y,Y,Y,,,,,,,,,,H
10.1007_s00213-016-4471-y/pdftable,doubleTable2.html,Y,Y,Y,Y,Y,Y,,,,,,,,,,
10.1007_s00213-016-4471-y/pdftable,doubleTable3.html,Y,Y,Y,Y,Y,Y,1,,,,,,,,,
10.1007_s00213-016-4471-y/pdftable,doubleTable4.html,Y,Y,Y,Y,Y,Y,1,,1,,,,,,,
10.1007_s00213-016-4471-y/pdftable,doubleTable5.html,*,Y,Y,*,*,*,1,,,,,,H-BAR,,,
10.1007_s00213-016-4471-y/pdftable,doubleTable6.html,*,Y,Y,*,*,*,,,,,,,H-BAR,,,
10.1007_s00213-016-4471-y/pdftable,doubleTable7.html,Y,Y,Y,Y,Y,Y,1,,1,,,,,,,
10.1007_s00213-016-4471-y/pdftable,doubleTable8.html,Y,Y,Y,Y,Y,Y,1,,1,,,,,,,
10.1007_s00213-016-4471-y/pdftable,doubleTable9.html,Y,Y,Y,Y,Y,,,,,,,,,,,
10.1007_s00213-016-4477-5,,,,,,,,,,,,,,,,,
10.1007_s00213-016-4477-5/pdftable,doubleTable1.html,Y,,,,,,,,,,,,,,,
10.1007_s12975-016-0496-0,,,,,,,,,,,,,,,,,
10.1007_s12975-016-0496-0/pdftable,doubleTable1.html,Y,Y,Y,Y,Y,Y,1,,,,,,,,,
10.1016_j.amepre.2016.07.024,,,,,,,,,,,,,,,,,
10.1016_j.amepre.2016.07.024/pdftable,doubleTable1.html,Y,,,,,,,,,,,,,,,
10.1016_j.amepre.2016.07.024/pdftable,doubleTable2.html,*,,,,,,,,,,,,H-BAR,,,
10.1016_j.amepre.2016.07.024/pdftable,doubleTable3.html,Y,,,,,,,,,,,,,,,
