ctree,svg,scope,comments,structure,header depth,subdata,splitrows,problems
10.1007_s00213-015-4198-1,table1.svg,,,THBF,2,1,,
10.1007_s00213-016-4471-y,table1.svg,,,THBF,?,,,
10.1007_s00213-016-4471-y,table2.svg,,,THBF,,,,
10.1007_s00213-016-4471-y,table3.svg,,,THBF,2,,,
10.1007_s00213-016-4471-y,table4.svg,,,THBF,2,,,
10.1007_s00213-016-4471-y,table5.svg,,H?,TH2BF,2?,,,
10.1007_s00213-016-4471-y,table6.svg,,H?,TH2BF,2?,,,
10.1007_s00213-016-4471-y,table7.svg,,H?,THBF,2?,1,,
10.1007_s00213-016-4471-y,table8.svg,,H?,THBF,2?,1,,
10.1007_s00213-016-4471-y,table9.svg,,,THBF,,,,
10.1007_s00213-016-4477-5,table1.svg,,H?B?,THBF,2?,1?,,
10.1007_s12975-016-0496-0,table1.svg,,,T(L)HBF,,,,
10.1016_S0140-6736(16)30388-9,table1.svg,out,BARBOX,HBFT NOT?,,,,
10.1016_S0140-6736(16)31461-1,table1.svg,,BARBOX,HBFT,,1?,,
10.1016_S0140-6736(16)31461-1,table2.svg,,BARBOX,HBFT,,,,
10.1016_S0140-6736(16)31589-6,table1.svg,,BARBOX,HBFT,,1?,,
10.1016_S0140-6736(16)31589-6,table2.svg,,BARBOX,HBFT,,1?,,
10.1016_S0140-6736(16)31589-6,table3.svg,,BARBOX,HBFT,,1?,,
10.1016_S0140-6736(16)31589-6,table4.svg,,BARBOX,HBF?T,,,,
10.1016_S0140-6736(16)31590-2,table1.svg,,BARBOX,HBFT,,1,,
10.1016_S0140-6736(16)31590-2,table2.svg,,BARBOX,HBFT,,1,,
10.1016_S0140-6736(16)31590-2,table3.svg,,BARBOX,HBFT,,1,,
10.1016_S0140-6736(16)31590-2,table4.svg,,BARBOX?,HBFT,,,,
10.1016_S0140-6736(16)32507-7,table1.svg,,BARBOX,HBFT,,1,,
10.1016_S0140-6736(16)32507-7,table1cont.svg,,BARBOX,HBFT,,1,,
10.1016_S0140-6736(16)32507-7,table2.svg,,BARBOX,HBFT,2,1,,
10.1016_S0140-6736(16)32507-7,table3.svg,,BARBOX,HBT,,,,
10.1016_S0140-6736(16)32507-7,table4.svg,,BARRED,HBT,2,,,
10.1016_j.amepre.2016.07.024,table1.svg,,BARBOX,T(HB)F,,1,,
10.1016_j.amepre.2016.07.024,table2.svg,,BARBOX,T(HB)F,,2,,
10.1016_j.amepre.2016.07.024,table3.svg,,BARBOX,THBF,,2,,
10.1016_j.amepre.2016.08.013,table1.svg,,,T(HB)F,,2,,
10.1016_j.amepre.2016.08.013,table2.svg,,,T(HB)F,2,,,
10.1016_j.jadohealth.2012.08.009,table1.svg,out,,,,,,
10.1016_j.jadohealth.2012.08.009,table2.svg,,,,,,,
10.1016_j.jadohealth.2012.08.009,table3.svg,,,,,,,
10.1016_j.jadohealth.2012.08.009,table4.svg,,,,,,,
10.1016_j.jadohealth.2016.10.001,table1.svg,,,,,,,
10.1016_j.jadohealth.2016.10.001,table2.svg,out,,,,,,
10.1016_j.jadohealth.2016.10.001,table2cont.svg,out,,,,,,
10.1016_j.jadohealth.2016.10.001,table3.svg,,,,,,,
10.1016_j.jadohealth.2016.10.001,table4.svg,,,,,,,
10.1016_j.pain.2014.08.023,table1.svg,,,,,,,
10.1016_j.pain.2014.08.023,table2.svg,,,,,,,
10.1016_j.pain.2014.08.023,table3.svg,,,,,,,
10.1016_j.pain.2014.08.023,table4.svg,,,,,,,
10.1016_j.pain.2014.09.020,table1.svg,,,,,,,
10.1016_j.pain.2014.09.020,table2.svg,,,,,,,
10.1016_j.pain.2014.09.020,table3.svg,,NOFOOTER:,,,,,
